name,imageUrl,url,marketPrice,extNumber
Porche,https://tcgplayer-cdn.tcgplayer.com/product/545865_200w.jpg,https://cpt.tcgcsv.com/kmn6,1.52,OP07-072,
Porche (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545866_200w.jpg,https://cpt.tcgcsv.com/lmn6,12.77,OP07-072,
Monkey.D.Luffy (073),https://tcgplayer-cdn.tcgplayer.com/product/545867_200w.jpg,https://cpt.tcgcsv.com/mmn6,0.13,OP07-073,
Monda,https://tcgplayer-cdn.tcgplayer.com/product/545868_200w.jpg,https://cpt.tcgcsv.com/nmn6,0.04,OP07-074,1000
Slow-Slow Beam,https://tcgplayer-cdn.tcgplayer.com/product/545869_200w.jpg,https://cpt.tcgcsv.com/pmn6,0.08,OP07-075,
Slow-Slow Beam Sword,https://tcgplayer-cdn.tcgplayer.com/product/545870_200w.jpg,https://cpt.tcgcsv.com/qmn6,0.09,OP07-076,
We're Going to Claim the One Piece!!!,https://tcgplayer-cdn.tcgplayer.com/product/545871_200w.jpg,https://cpt.tcgcsv.com/rmn6,0.19,OP07-077,
Megaton Nine-Tails Rush,https://tcgplayer-cdn.tcgplayer.com/product/545872_200w.jpg,https://cpt.tcgcsv.com/smn6,0.06,OP07-078,
Rob Lucci (079),https://tcgplayer-cdn.tcgplayer.com/product/545873_200w.jpg,https://cpt.tcgcsv.com/tmn6,0.1,OP07-079,
Rob Lucci (079) (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545874_200w.jpg,https://cpt.tcgcsv.com/vmn6,31.43,OP07-079,
Kaku,https://tcgplayer-cdn.tcgplayer.com/product/545875_200w.jpg,https://cpt.tcgcsv.com/wmn6,0.13,OP07-080,2000
Kalifa,https://tcgplayer-cdn.tcgplayer.com/product/545876_200w.jpg,https://cpt.tcgcsv.com/xmn6,0.1,OP07-081,1000
Captain John,https://tcgplayer-cdn.tcgplayer.com/product/545877_200w.jpg,https://cpt.tcgcsv.com/zmn6,0.07,OP07-082,1000
Gecko Moria (083),https://tcgplayer-cdn.tcgplayer.com/product/545878_200w.jpg,https://cpt.tcgcsv.com/Bmn6,0.06,OP07-083,1000
Gismonda,https://tcgplayer-cdn.tcgplayer.com/product/545879_200w.jpg,https://cpt.tcgcsv.com/Cmn6,0.04,OP07-084,1000
Stussy,https://tcgplayer-cdn.tcgplayer.com/product/545880_200w.jpg,https://cpt.tcgcsv.com/Dmn6,0.44,OP07-085,
Stussy (Parallel),https://tcgplayer-cdn.tcgplayer.com/product/545881_200w.jpg,https://cpt.tcgcsv.com/Fmn6,10.08,OP07-085,
